source,target,importance
VWC2,VWC2,1.0
HNF1A,HNF1A,1.0
XX-C2158C6.3,CASP4,0.31690556
CASP4,CASP4,1.0
SLC6A4,SLC6A4,1.0
MRTO4,MRTO4,1.0
NOS3,NOS3,0.99993235
RP13-57D9.3,RP13-57D9.3,1.0
WDR5B,WDR5B,0.9999519
ZNF527,ZNF527,0.99991673
PDE9A,PDE9A,0.9999544
CTC-471J1.11,CTC-471J1.11,1.0
ZFP36L2,ZFP36L2,1.0
ZSCAN5A,ZSCAN5A,0.9999997
TRPM4,TRPM4,0.99993443
DYNLL1,DYNLL1,0.99999774
IDH1-AS1,IDH1-AS1,0.99999565
ATP5E,ATP5I,0.32798505
ATP5I,ATP5I,0.9999987
MTX1,MTX1,1.0
S100A16,S100A16,0.99989516
ZNF254,ZNF254,1.0
RP11-21L23.3,RP11-21L23.3,1.0
NT5DC2,NT5DC2,0.99997383
ARID5B,ARID5B,1.0
RP11-7F18.2,RP11-7F18.2,0.99997085
SMC1A,SMC1A,1.0
RAD51,RAD51,0.99996233
KIF23,KIF23,1.0
CTB-129O4.1,CTB-129O4.1,0.9998722
ANKRD10,ANKRD10,1.0
RP5-867C24.5,RP5-867C24.5,1.0
AIP,AIP,0.99995136
CEBPA,CEBPA,1.0
DDX25,DDX25,0.9999284
PRR7-AS1,PRR7-AS1,0.9999669
XRCC4,XRCC4,1.0
SLC27A5,SLC27A5,0.9999711
SLC29A2,SLC29A2,0.9999101
TNFSF13B,TNFSF13B,1.0
CNTLN,CNTLN,0.99995166
CTD-2619J13.17,HERC6,0.3155387
HERC6,HERC6,1.0
SLC25A5,SLC25A5,1.0
PLEC,PLEC,1.0
RP11-326C3.12,RP11-326C3.12,0.99988157
SLC7A11,SLC7A11,1.0
MPPED2,MPPED2,0.9999653
MEF2C,MEF2C,0.9999767
PHLDA1,IER3,0.34946907
IER3,IER3,0.999926
GLRX3,GLRX3,0.9999496
RMI2,RMI2,0.9999914
SLC38A1,SLC38A1,1.0
RPS18,NACA,0.33390823
RPS4X,NACA,0.3433026
RPL14,NACA,0.3493847
RPL7,NACA,0.35100487
MT-CO3,NACA,0.3539931
LDHB,NACA,0.35872105
RPS3,NACA,0.36793807
BTF3,NACA,0.37543482
RPS5,NACA,0.3823165
RPL10A,NACA,0.38685352
FAU,NACA,0.39206776
RPS7,NACA,0.41792205
NPM1,NACA,0.43455383
RPL5,NACA,0.4408459
GNB2L1,NACA,0.4525093
NACA,NACA,1.0
PNMA6A,PNMA6A,0.99990445
CLIP1-AS1,CLIP1-AS1,0.99994373
RPS6KL1,RPS6KL1,1.0
MBNL1-AS1,MBNL1-AS1,0.99995303
CNPY4,CNPY4,1.0
KCNK3,KCNK3,1.0
CDC25C,CDC25C,0.9998976
TCF7L1,TCF7L1,1.0
ERAP2,ERAP2,1.0
CTD-2033A16.3,CTD-2033A16.3,0.9999031
EPS8L3,EPS8L3,0.9999202
MAGIX,MAGIX,0.99995726
AC006262.5,AC006262.5,1.0
TNFAIP2,TNFAIP2,0.99995345
SLC6A19,SLC6A19,1.0
NME1,ATP5G1,0.3116062
RANBP1,ATP5G1,0.31818593
HSPE1,ATP5G1,0.34163415
ATP5G1,ATP5G1,1.0
AP003068.23,AP003068.23,0.9999624
C12orf45,C12orf45,1.0
RP11-77E14.2,RP11-77E14.2,1.0
RP11-266K4.9,RP11-266K4.9,1.0
LINC01124,LINC01124,0.9998901
UBAC1,UBAC1,1.0
FBXO10,FBXO10,1.0
HLA-DOB,HLA-DOB,0.9998757
FH,FH,0.9999094
VEGFB,VEGFB,1.0
ACOT9,ACOT9,1.0
WDR5,WDR5,0.99997324
LTBP1,LTBP1,1.0
MME,IL21-AS1,0.38298112
IL21-AS1,IL21-AS1,0.9998712
S100A4,S100A4,0.9999824
CTB-138E5.1,IGF1,0.48933902
IGF1,IGF1,1.0
HOXB2,HOXB2,0.9999612
ZBED8,ZBED8,1.0
HSPB11,HSPB11,0.99998367
AC024560.2,RP13-143G15.4,0.37266192
RP11-366H4.1,RP13-143G15.4,0.37923595
PDGFA,RP13-143G15.4,0.37933874
